"age" "year" "population"
0 1900 1.811
20 1900 1.5
40 1900 0.917
60 1900 0.391
0 1901 1.85
20 1901 1.53
40 1901 0.94
60 1901 0.401
0 1902 1.892
20 1902 1.563
40 1902 0.963
60 1902 0.409
0 1903 1.93
20 1903 1.595
40 1903 0.985
60 1903 0.418
0 1904 1.969
20 1904 1.628
40 1904 1.008
60 1904 0.426
0 1905 2.01
20 1905 1.665
40 1905 1.032
60 1905 0.437
0 1906 2.05
20 1906 1.699
40 1906 1.056
60 1906 0.447
0 1907 2.086
20 1907 1.733
40 1907 1.077
60 1907 0.457
0 1908 2.125
20 1908 1.769
40 1908 1.101
60 1908 0.467
0 1909 2.162
20 1909 1.804
40 1909 1.127
60 1909 0.48
0 1910 2.203
20 1910 1.839
40 1910 1.154
60 1910 0.493
0 1911 2.227
20 1911 1.851
40 1911 1.176
60 1911 0.507
0 1912 2.25
20 1912 1.861
40 1912 1.2
60 1912 0.521
0 1913 2.279
20 1913 1.875
40 1913 1.229
60 1913 0.538
0 1914 2.305
20 1914 1.887
40 1914 1.259
60 1914 0.556
0 1915 2.317
20 1915 1.887
40 1915 1.283
60 1915 0.572
0 1916 2.325
20 1916 1.886
40 1916 1.308
60 1916 0.589
0 1917 2.329
20 1917 1.876
40 1917 1.334
60 1917 0.606
0 1918 2.332
20 1918 1.771
40 1918 1.358
60 1918 0.623
0 1919 2.299
20 1919 1.824
40 1919 1.369
60 1919 0.634
0 1920 2.277
20 1920 1.855
40 1920 1.417
60 1920 0.65
0 1921 2.362
20 1921 1.881
40 1921 1.448
60 1921 0.665
0 1922 2.413
20 1922 1.904
40 1922 1.471
60 1922 0.676
0 1923 2.433
20 1923 1.947
40 1923 1.499
60 1923 0.692
0 1924 2.476
20 1924 2.005
40 1924 1.527
60 1924 0.712
0 1925 2.46
20 1925 2.047
40 1925 1.551
60 1925 0.733
0 1926 2.366
20 1926 2.085
40 1926 1.578
60 1926 0.752
0 1927 2.305
20 1927 2.128
40 1927 1.608
60 1927 0.775
0 1928 2.251
20 1928 2.171
40 1928 1.639
60 1928 0.796
0 1929 2.142
20 1929 2.209
40 1929 1.677
60 1929 0.811
0 1930 2.181398
20 1930 2.24565
40 1930 1.72142
60 1930 0.823587
0 1931 2.138681
20 1931 2.25853
40 1931 1.765261
60 1931 0.841186
0 1932 2.040919
20 1932 2.272673
40 1932 1.799179
60 1932 0.862443
0 1933 1.93789
20 1933 2.285833
40 1933 1.806959
60 1933 0.890694
0 1934 1.874566
20 1934 2.296708
40 1934 1.792212
60 1934 0.922554
0 1935 1.951444
20 1935 2.303828
40 1935 1.772232
60 1935 0.951288
0 1936 1.944835
20 1936 2.306833
40 1936 1.759353
60 1936 0.974602
0 1937 1.932237
20 1937 2.30758
40 1937 1.753435
60 1937 0.99338
0 1938 2.018652
20 1938 2.323249
40 1938 1.764365
60 1938 1.009094
0 1939 2.041014
20 1939 2.356786
40 1939 1.789868
60 1939 1.023492
0 1940 2.025235
20 1940 2.407683
40 1940 1.82321
60 1940 1.041845
0 1941 2.166858
20 1941 2.429716
40 1941 1.853375
60 1941 1.067457
0 1942 2.325004
20 1942 2.44825
40 1942 1.877565
60 1942 1.084637
0 1943 2.692725
20 1943 2.430035
40 1943 1.905258
60 1943 1.103475
0 1944 2.515859
20 1944 2.386866
40 1944 1.935379
60 1944 1.126025
0 1945 2.463569
20 1945 2.35427
40 1945 1.968557
60 1945 1.154747
0 1946 2.401211
20 1946 2.327077
40 1946 2.007292
60 1946 1.184138
0 1947 3.452304
20 1947 2.285142
40 1947 2.041998
60 1947 1.216288
0 1948 3.169318
20 1948 2.2859
